#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
sulfuric_naphtha                                  ([no block])                                                                     = Sulfuric Naphtha
naphtha                                           ([no block])                                                                     = Naphtha
lightly_hydrocracked_naphtha                      ([no block])                                                                     = Lightly Hydro-Cracked Naphtha
severely_hydrocracked_naphtha                     ([no block])                                                                     = Severely Hydro-Cracked Naphtha
lightly_steamcracked_naphtha                      ([no block])                                                                     = Lightly Steam-Cracked Naphtha
severely_steamcracked_naphtha                     ([no block])                                                                     = Severely Steam-Cracked Naphtha
sulfuric_gas                                      ([no block])                                                                     = Sulfuric Gas
refinery_gas                                      ([no block])                                                                     = Refinery Gas
lightly_hydrocracked_gas                          ([no block])                                                                     = Lightly Hydro-Cracked Refinery Gas
severely_hydrocracked_gas                         ([no block])                                                                     = Severely Hydro-Cracked Refinery Gas
lightly_steamcracked_gas                          ([no block])                                                                     = Lightly Steam-Cracked Refinery Gas
severely_steamcracked_gas                         ([no block])                                                                     = Severely Steam-Cracked Refinery Gas
hydrocracked_ethane                               ([no block])                                                                     = Hydro-Cracked Ethane
hydrocracked_ethylene                             ([no block])                                                                     = Hydro-Cracked Ethylene
hydrocracked_propene                              ([no block])                                                                     = Hydro-Cracked Propene
hydrocracked_propane                              ([no block])                                                                     = Hydro-Cracked Propane
hydrocracked_butane                               ([no block])                                                                     = Hydro-Cracked Butane
hydrocracked_butene                               ([no block])                                                                     = Hydro-Cracked Butene
hydrocracked_butadiene                            ([no block])                                                                     = Hydro-Cracked Butadiene
steamcracked_ethane                               ([no block])                                                                     = Steam-Cracked Ethane
steamcracked_ethylene                             ([no block])                                                                     = Steam-Cracked Ethylene
steamcracked_propene                              ([no block])                                                                     = Steam-Cracked Propene
steamcracked_propane                              ([no block])                                                                     = Steam-Cracked Propane
steamcracked_butane                               ([no block])                                                                     = Steam-Cracked Butane
steamcracked_butene                               ([no block])                                                                     = Steam-Cracked Butene
steamcracked_butadiene                            ([no block])                                                                     = Steam-Cracked Butadiene
lpg                                               ([no block])                                                                     = LPG
raw_growth_medium                                 ([no block])                                                                     = Raw Growth Medium
sterilized_growth_medium                          ([no block])                                                                     = Sterilized Growth Medium
oil_medium                                        (gregtech:fluid.oil_medium)                                                      = Raw Oil
oil_light                                         (gregtech:fluid.oil_light)                                                       = Light Oil
natural_gas                                       (gregtech:fluid.natural_gas)                                                     = Natural Gas
bacteria                                          ([no block])                                                                     = Bacteria
bacterial_sludge                                  ([no block])                                                                     = Bacterial Sludge
enriched_bacterial_sludge                         ([no block])                                                                     = Enriched Bacterial Sludge
mutagen                                           (gendustry:mutagen)                                                              = Mutagen
gelatin_mixture                                   ([no block])                                                                     = Gelatin Mixture
raw_gasoline                                      ([no block])                                                                     = Raw Gasoline
gasoline                                          (immersivepetroleum:fluid_gasoline)                                              = Gasoline
gasoline_premium                                  ([no block])                                                                     = High Octane Gasoline
coal_gas                                          ([no block])                                                                     = Coal Gas
coal_tar                                          ([no block])                                                                     = Coal Tar
nitro_fuel                                        ([no block])                                                                     = Cetane-Boosted Diesel
fish_oil                                          ([no block])                                                                     = Fish Oil
ruby_slurry                                       ([no block])                                                                     = Ruby Slurry
sapphire_slurry                                   ([no block])                                                                     = Sapphire Slurry
green_sapphire_slurry                             ([no block])                                                                     = Green Sapphire Slurry
dye_black                                         ([no block])                                                                     = Chemical Black Dye
dye_red                                           ([no block])                                                                     = Chemical Red Dye
dye_green                                         ([no block])                                                                     = Chemical Green Dye
dye_brown                                         ([no block])                                                                     = Chemical Brown Dye
dye_blue                                          ([no block])                                                                     = Chemical Blue Dye
dye_purple                                        ([no block])                                                                     = Chemical Purple Dye
dye_cyan                                          ([no block])                                                                     = Chemical Cyan Dye
dye_light_gray                                    ([no block])                                                                     = Chemical Light Gray Dye
dye_gray                                          ([no block])                                                                     = Chemical Gray Dye
dye_pink                                          ([no block])                                                                     = Chemical Pink Dye
dye_lime                                          ([no block])                                                                     = Chemical Lime Dye
dye_yellow                                        ([no block])                                                                     = Chemical Yellow Dye
dye_light_blue                                    ([no block])                                                                     = Chemical Light Blue Dye
dye_magenta                                       ([no block])                                                                     = Chemical Magenta Dye
dye_orange                                        ([no block])                                                                     = Chemical Orange Dye
dye_white                                         ([no block])                                                                     = Chemical White Dye
impure_enriched_naquadah_solution                 ([no block])                                                                     = Impure Enriched Naquadah Solution
enriched_naquadah_solution                        ([no block])                                                                     = Enriched Naquadah Solution
acidic_enriched_naquadah_solution                 ([no block])                                                                     = Acidic Enriched Naquadah Solution
enriched_naquadah_waste                           ([no block])                                                                     = Enriched Naquadah Waste
impure_naquadria_solution                         ([no block])                                                                     = Impure Naquadria Solution
naquadria_solution                                ([no block])                                                                     = Naquadria Solution
acidic_naquadria_solution                         ([no block])                                                                     = Acidic Naquadria Solution
naquadria_waste                                   ([no block])                                                                     = Naquadria Waste
uu_matter                                         ([no block])                                                                     = UU-Matter
pcb_coolant                                       ([no block])                                                                     = Dielectric PCB Coolant
salt_water                                        ([no block])                                                                     = Salt Water
blaze                                             ([no block])                                                                     = Liquid Blaze
black_steel                                       ([no block])                                                                     = Liquid Black Steel
damascus_steel                                    ([no block])                                                                     = Liquid Damascus Steel
tungsten_steel                                    ([no block])                                                                     = Liquid Tungstensteel
molten.tungsten_steel                             ([no block])                                                                     = Molten Tungstensteel
cobalt_brass                                      ([no block])                                                                     = Liquid Cobalt Brass
vanadium_steel                                    ([no block])                                                                     = Liquid Vanadiumsteel
potin                                             ([no block])                                                                     = Liquid Potin
borosilicate_glass                                ([no block])                                                                     = Liquid Borosilicate Glass
naquadah_alloy                                    ([no block])                                                                     = Liquid Naquadah Alloy
molten.naquadah_alloy                             ([no block])                                                                     = Molten Naquadah Alloy
sulfuric_nickel_solution                          ([no block])                                                                     = Sulfuric Nickel Solution
sulfuric_copper_solution                          ([no block])                                                                     = Sulfuric Copper Solution
lead_zinc_solution                                ([no block])                                                                     = Lead-Zinc Solution
nitration_mixture                                 ([no block])                                                                     = Nitration Mixture
diluted_sulfuric_acid                             ([no block])                                                                     = Diluted Sulfuric Acid
diluted_hydrochloric_acid                         ([no block])                                                                     = Diluted Hydrochloric Acid
air                                               ([no block])                                                                     = Air
liquid_air                                        ([no block])                                                                     = Liquid Air
nether_air                                        ([no block])                                                                     = Nether Air
liquid_nether_air                                 ([no block])                                                                     = Liquid Nether Air
ender_air                                         ([no block])                                                                     = Ender Air
liquid_ender_air                                  ([no block])                                                                     = Liquid Ender Air
aqua_regia                                        ([no block])                                                                     = Aqua Regia
acidic_osmium_solution                            ([no block])                                                                     = Acidic Osmium Solution
rhodium_plated_palladium                          ([no block])                                                                     = Liquid Rhodium Plated Palladium
molten.rhodium_plated_palladium                   ([no block])                                                                     = Molten Rhodium Plated Palladium
red_steel                                         ([no block])                                                                     = Liquid Red Steel
blue_steel                                        ([no block])                                                                     = Liquid Blue Steel
hssg                                              ([no block])                                                                     = Liquid HSS-G
molten.hssg                                       ([no block])                                                                     = Molten HSS-G
red_alloy                                         ([no block])                                                                     = Liquid Red Alloy
hsse                                              ([no block])                                                                     = Liquid HSS-E
molten.hsse                                       ([no block])                                                                     = Molten HSS-E
hsss                                              ([no block])                                                                     = Liquid HSS-S
molten.hsss                                       ([no block])                                                                     = Molten HSS-S
blue_alloy                                        ([no block])                                                                     = Liquid Blue Alloy
stellite_100                                      ([no block])                                                                     = Liquid Stellite-100
molten.stellite_100                               ([no block])                                                                     = Molten Stellite-100
watertight_steel                                  ([no block])                                                                     = Liquid Watertight Steel
molten.watertight_steel                           ([no block])                                                                     = Molten Watertight Steel
maraging_steel_300                                ([no block])                                                                     = Liquid Maraging Steel 300
molten.maraging_steel_300                         ([no block])                                                                     = Molten Maraging Steel 300
hastelloy_c_276                                   ([no block])                                                                     = Liquid Hastelloy-C276
molten.hastelloy_c_276                            ([no block])                                                                     = Molten Hastelloy-C276
hastelloy_x                                       ([no block])                                                                     = Liquid Hastelloy-X
molten.hastelloy_x                                ([no block])                                                                     = Molten Hastelloy-X
trinaquadalloy                                    ([no block])                                                                     = Liquid Trinaquadalloy
molten.trinaquadalloy                             ([no block])                                                                     = Molten Trinaquadalloy
zeron_100                                         ([no block])                                                                     = Liquid Zeron-100
molten.zeron_100                                  ([no block])                                                                     = Molten Zeron-100
titanium_carbide                                  ([no block])                                                                     = Liquid Titanium Carbide
molten.titanium_carbide                           ([no block])                                                                     = Molten Titanium Carbide
tantalum_carbide                                  ([no block])                                                                     = Liquid Tantalum Carbide
molten.tantalum_carbide                           ([no block])                                                                     = Molten Tantalum Carbide
molybdenum_disilicide                             ([no block])                                                                     = Liquid Molybdenum Disilicide
molten.molybdenum_disilicide                      ([no block])                                                                     = Molten Molybdenum Disilicide
hsla_steel                                        ([no block])                                                                     = Liquid HSLA Steel
titanium_tungsten_carbide                         ([no block])                                                                     = Liquid Titanium Tungsten Carbide
molten.titanium_tungsten_carbide                  ([no block])                                                                     = Molten Titanium Tungsten Carbide
incoloy_ma_956                                    ([no block])                                                                     = Liquid Incoloy-MA956
molten.incoloy_ma_956                             ([no block])                                                                     = Molten Incoloy-MA956
meth                                              ([no block])                                                                     = Methamphetamine
hydrogen_cyanide                                  ([no block])                                                                     = Hydrogen Cyanide
benzyl_chloride                                   ([no block])                                                                     = Benzyl Chloride
benzyl_cyanide                                    ([no block])                                                                     = Benzyl Cyanide
phenylacetic_acid                                 ([no block])                                                                     = Phenylacetic Acid
phenylacetone                                     ([no block])                                                                     = Phenylacetone
acetic_anhydride                                  ([no block])                                                                     = Acetic Anhydride
methylamine                                       ([no block])                                                                     = Methylamine
chloroacetone                                     ([no block])                                                                     = Chloroacetone
xu_evil_metal                                     ([no block])                                                                     = Evil Infused Iron
xu_enchanted_metal                                ([no block])                                                                     = Enchanted Metal
xu_demonic_metal                                  ([no block])                                                                     = Molten Demon Metal
fossil_tar                                        (fossil:tar)                                                                     = Tar
liquiddna                                         (gendustry:liquiddna)                                                            = Liquid DNA
protein                                           (gendustry:protein)                                                              = Protein
napalm                                            (immersivepetroleum:fluid_napalm)                                                = Napalm
essence                                           (industrialforegoing:essence)                                                    = Essence
meat                                              (industrialforegoing:meat)                                                       = Liquid Meat
sewage                                            (industrialforegoing:sewage)                                                     = Sewage
sludge                                            (industrialforegoing:sludge)                                                     = Sludge
biofuel                                           (industrialforegoing:biofuel)                                                    = Biofuel
if.pink_slime                                     (industrialforegoing:if.pink_slime)                                              = Pink Slime
if.protein                                        (industrialforegoing:if.protein)                                                 = Protein
if.ore_fluid_raw                                  ([no block])                                                                     = Raw Ore Meat
if.ore_fluid_fermented                            ([no block])                                                                     = Fermented Ore Meat
helium3                                           (nuclearcraft:fluid_helium3)                                                     = Helium-3
boron                                             (nuclearcraft:fluid_boron)                                                       = Molten Boron
boron10                                           (nuclearcraft:fluid_boron10)                                                     = Molten Boron-10
boron11                                           (nuclearcraft:fluid_boron11)                                                     = Molten Boron-11
lithium6                                          (nuclearcraft:fluid_lithium6)                                                    = Molten Lithium-6
lithium7                                          (nuclearcraft:fluid_lithium7)                                                    = Molten Lithium-7
ferroboron                                        (nuclearcraft:fluid_ferroboron)                                                  = Molten Ferroboron
tough                                             (nuclearcraft:fluid_tough)                                                       = Molten Tough Alloy
hard_carbon                                       (nuclearcraft:fluid_hard_carbon)                                                 = Molten Hard Carbon
manganese_dioxide                                 (nuclearcraft:fluid_manganese_dioxide)                                           = Molten Manganese Dioxide
sulfur                                            (nuclearcraft:fluid_sulfur)                                                      = Molten Sulfur
liquidhelium                                      (nuclearcraft:fluid_liquidhelium)                                                = Liquid Helium
liquid_nitrogen                                   (nuclearcraft:fluid_liquid_nitrogen)                                             = Liquid Nitrogen
plasma                                            (nuclearcraft:fluid_plasma)                                                      = Plasma
neutron                                           (nuclearcraft:fluid_neutron)                                                     = Neutron Fluid
radaway                                           (nuclearcraft:fluid_radaway)                                                     = RadAway Fluid
radaway_slow                                      (nuclearcraft:fluid_radaway_slow)                                                = Slow-Acting RadAway Fluid
ethene                                            (nuclearcraft:fluid_ethene)                                                      = Ethylene
fluoromethane                                     (nuclearcraft:fluid_fluoromethane)                                               = Fluoromethane
oxygen_difluoride                                 (nuclearcraft:fluid_oxygen_difluoride)                                           = Oxygen Difluoride
diborane                                          (nuclearcraft:fluid_diborane)                                                    = Diborane
boric_acid                                        (nuclearcraft:fluid_boric_acid)                                                  = Boric Acid
boron_nitride_solution                            (nuclearcraft:fluid_boron_nitride_solution)                                      = Boron Nitride Solution
fluorite_water                                    (nuclearcraft:fluid_fluorite_water)                                              = Fluorite Water
calcium_sulfate_solution                          (nuclearcraft:fluid_calcium_sulfate_solution)                                    = Calcium Sulfate Solution
sodium_fluoride_solution                          (nuclearcraft:fluid_sodium_fluoride_solution)                                    = Sodium Fluoride Solution
potassium_fluoride_solution                       (nuclearcraft:fluid_potassium_fluoride_solution)                                 = Potassium Fluoride Solution
sodium_hydroxide_solution                         (nuclearcraft:fluid_sodium_hydroxide_solution)                                   = Sodium Hydroxide Solution
potassium_hydroxide_solution                      (nuclearcraft:fluid_potassium_hydroxide_solution)                                = Potassium Hydroxide Solution
borax_solution                                    (nuclearcraft:fluid_borax_solution)                                              = Borax Solution
corium                                            (nuclearcraft:fluid_corium)                                                      = Corium
chocolate_liquor                                  (nuclearcraft:fluid_chocolate_liquor)                                            = Chocolate Liquor
cocoa_butter                                      (nuclearcraft:fluid_cocoa_butter)                                                = Cocoa Butter
unsweetened_chocolate                             (nuclearcraft:fluid_unsweetened_chocolate)                                       = Molten Unsweetened Chocolate
dark_chocolate                                    (nuclearcraft:fluid_dark_chocolate)                                              = Molten Dark Chocolate
milk_chocolate                                    (nuclearcraft:fluid_milk_chocolate)                                              = Molten Milk Chocolate
sugar                                             (nuclearcraft:fluid_sugar)                                                       = Molten Sugar
gelatin                                           (nuclearcraft:fluid_gelatin)                                                     = Molten Gelatin
hydrated_gelatin                                  (nuclearcraft:fluid_hydrated_gelatin)                                            = Hydrated Gelatin
marshmallow                                       (nuclearcraft:fluid_marshmallow)                                                 = Liquid Marshmallow
lif                                               (nuclearcraft:fluid_lif)                                                         = Molten Lithium Fluoride
bef2                                              (nuclearcraft:fluid_bef2)                                                        = Molten Beryllium Fluoride
flibe                                             (nuclearcraft:fluid_flibe)                                                       = Molten FLiBe Salt Mixture
naoh                                              (nuclearcraft:fluid_naoh)                                                        = Molten Sodium Hydroxide
koh                                               (nuclearcraft:fluid_koh)                                                         = Molten Potassium Hydroxide
high_pressure_steam                               (nuclearcraft:fluid_high_pressure_steam)                                         = High Pressure Steam
exhaust_steam                                     (nuclearcraft:fluid_exhaust_steam)                                               = Exhaust Steam
low_pressure_steam                                (nuclearcraft:fluid_low_pressure_steam)                                          = Low Pressure Steam
low_quality_steam                                 (nuclearcraft:fluid_low_quality_steam)                                           = Low Quality Steam
preheated_water                                   (nuclearcraft:fluid_preheated_water)                                             = Preheated Water
condensate_water                                  (nuclearcraft:fluid_condensate_water)                                            = Condensate Water
sodium                                            (nuclearcraft:fluid_sodium)                                                      = Molten Sodium
nak                                               (nuclearcraft:fluid_nak)                                                         = Eutectic NaK Alloy
nak_hot                                           (nuclearcraft:fluid_nak_hot)                                                     = Hot Eutectic NaK Alloy
bas                                               (nuclearcraft:fluid_bas)                                                         = Molten Boron Arsenide
sic_vapor                                         (nuclearcraft:fluid_sic_vapor)                                                   = Silicon Carbide Vapor
alugentum                                         (nuclearcraft:fluid_alugentum)                                                   = Molten Alugentum
alumina                                           (nuclearcraft:fluid_alumina)                                                     = Molten Alumina
thorium_fluoride                                  ([no block])                                                                     = Molten Thorium Fluoride
thorium_fluoride_flibe                            ([no block])                                                                     = Molten FLiBe Salt Solution of Thorium Fluoride
uranium_fluoride                                  ([no block])                                                                     = Molten Uranium Fluoride
uranium_fluoride_flibe                            ([no block])                                                                     = Molten FLiBe Salt Solution of Uranium Fluoride
plutonium_fluoride                                ([no block])                                                                     = Molten Plutonium Fluoride
plutonium_fluoride_flibe                          ([no block])                                                                     = Molten FLiBe Salt Solution of Plutonium Fluoride
thorium_230                                       ([no block])                                                                     = Molten Thorium-230
thorium_230_fluoride                              ([no block])                                                                     = Molten Thorium-230 Fluoride
thorium_230_fluoride_flibe                        ([no block])                                                                     = Molten FLiBe Salt Solution of Thorium-230 Fluoride
uranium_233                                       ([no block])                                                                     = Molten Uranium-233
uranium_233_fluoride                              ([no block])                                                                     = Molten Uranium-233 Fluoride
uranium_233_fluoride_flibe                        ([no block])                                                                     = Molten FLiBe Salt Solution of Uranium-233 Fluoride
uranium_235_fluoride                              ([no block])                                                                     = Molten Uranium-235 Fluoride
uranium_235_fluoride_flibe                        ([no block])                                                                     = Molten FLiBe Salt Solution of Uranium-235 Fluoride
uranium_238                                       ([no block])                                                                     = Molten Uranium-238
uranium_238_fluoride                              ([no block])                                                                     = Molten Uranium-238 Fluoride
uranium_238_fluoride_flibe                        ([no block])                                                                     = Molten FLiBe Salt Solution of Uranium-238 Fluoride
neptunium_236                                     ([no block])                                                                     = Molten Neptunium-236
neptunium_236_fluoride                            ([no block])                                                                     = Molten Neptunium-236 Fluoride
neptunium_236_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Neptunium-236 Fluoride
neptunium_237                                     ([no block])                                                                     = Molten Neptunium-237
neptunium_237_fluoride                            ([no block])                                                                     = Molten Neptunium-237 Fluoride
neptunium_237_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Neptunium-237 
plutonium_238                                     ([no block])                                                                     = Molten Plutonium-238
plutonium_238_fluoride                            ([no block])                                                                     = Molten Plutonium-238 Fluoride
plutonium_238_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Plutonium-238 Fluoride
plutonium_239                                     ([no block])                                                                     = Molten Plutonium-239
plutonium_239_fluoride                            ([no block])                                                                     = Molten Plutonium-239 Fluoride
plutonium_239_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Plutonium-239 Fluoride
plutonium_241_fluoride                            ([no block])                                                                     = Molten Plutonium-241 Fluoride
plutonium_241_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Plutonium-241 Fluoride
plutonium_242                                     ([no block])                                                                     = Molten Plutonium-242
plutonium_242_fluoride                            ([no block])                                                                     = Molten Plutonium-242 Fluoride
plutonium_242_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Plutonium-242 Fluoride
americium_241                                     ([no block])                                                                     = Molten Americium-241
americium_241_fluoride                            ([no block])                                                                     = Molten Americium-241 Fluoride
americium_241_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Americium-241 Fluoride
americium_242                                     ([no block])                                                                     = Molten Americium-242
americium_242_fluoride                            ([no block])                                                                     = Molten Americium-242 Fluoride
americium_242_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Americium-242 Fluoride
americium_243                                     ([no block])                                                                     = Molten Americium-243
americium_243_fluoride                            ([no block])                                                                     = Molten Americium-243 Fluoride
americium_243_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Americium-243 Fluoride
curium_243                                        ([no block])                                                                     = Molten Curium-243
curium_243_fluoride                               ([no block])                                                                     = Molten Curium-243 Fluoride
curium_243_fluoride_flibe                         ([no block])                                                                     = Molten FLiBe Salt Solution of Curium-243 Fluoride
curium_245                                        ([no block])                                                                     = Molten Curium-245
curium_245_fluoride                               ([no block])                                                                     = Molten Curium-245 Fluoride
curium_245_fluoride_flibe                         ([no block])                                                                     = Molten FLiBe Salt Solution of Curium-245 Fluoride
curium_246                                        ([no block])                                                                     = Molten Curium-246
curium_246_fluoride                               ([no block])                                                                     = Molten Curium-246 Fluoride
curium_246_fluoride_flibe                         ([no block])                                                                     = Molten FLiBe Salt Solution of Curium-246 Fluoride
curium_247                                        ([no block])                                                                     = Molten Curium-247
curium_247_fluoride                               ([no block])                                                                     = Molten Curium-247 Fluoride
curium_247_fluoride_flibe                         ([no block])                                                                     = Molten FLiBe Salt Solution of Curium-247 Fluoride
berkelium_247                                     ([no block])                                                                     = Molten Berkelium-247
berkelium_247_fluoride                            ([no block])                                                                     = Molten Berkelium-247 Fluoride
berkelium_247_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Berkelium-247 Fluoride
berkelium_248                                     ([no block])                                                                     = Molten Berkelium-248
berkelium_248_fluoride                            ([no block])                                                                     = Molten Berkelium-248 Fluoride
berkelium_248_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Berkelium-248 Fluoride
californium_249                                   ([no block])                                                                     = Molten Californium-249
californium_249_fluoride                          ([no block])                                                                     = Molten Californium-249 Fluoride
californium_249_fluoride_flibe                    ([no block])                                                                     = Molten FLiBe Salt Solution of Californium-249 Fluoride
californium_250                                   ([no block])                                                                     = Molten Californium-250
californium_250_fluoride                          ([no block])                                                                     = Molten Californium-250 Fluoride
californium_250_fluoride_flibe                    ([no block])                                                                     = Molten FLiBe Salt Solution of Californium-250 Fluoride
californium_251                                   ([no block])                                                                     = Molten Californium-251
californium_251_fluoride                          ([no block])                                                                     = Molten Californium-251 Fluoride
californium_251_fluoride_flibe                    ([no block])                                                                     = Molten FLiBe Salt Solution of Californium-251 Fluoride
californium_252                                   ([no block])                                                                     = Molten Californium-252
californium_252_fluoride                          ([no block])                                                                     = Molten Californium-252 Fluoride
californium_252_fluoride_flibe                    ([no block])                                                                     = Molten FLiBe Salt Solution of Californium-252 Fluoride
fuel_tbu                                          ([no block])                                                                     = Molten TBU Fuel
fuel_tbu_fluoride                                 ([no block])                                                                     = Molten TBU Fluoride Fuel
fuel_tbu_fluoride_flibe                           ([no block])                                                                     = Molten FLiBe Salt Solution of TBU Fluoride Fuel
fuel_leu_233                                      ([no block])                                                                     = Molten LEU-233 Fuel
fuel_leu_233_fluoride                             ([no block])                                                                     = Molten LEU-233 Fluoride Fuel
fuel_leu_233_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of LEU-233 Fluoride Fuel
fuel_heu_233                                      ([no block])                                                                     = Molten HEU-233 Fuel
fuel_heu_233_fluoride                             ([no block])                                                                     = Molten HEU-233 Fluoride Fuel
fuel_heu_233_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of HEU-233 Fluoride Fuel
fuel_leu_235                                      ([no block])                                                                     = Molten LEU-235 Fuel
fuel_leu_235_fluoride                             ([no block])                                                                     = Molten LEU-235 Fluoride Fuel
fuel_leu_235_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of LEU-235 Fluoride Fuel
fuel_heu_235                                      ([no block])                                                                     = Molten HEU-235 Fuel
fuel_heu_235_fluoride                             ([no block])                                                                     = Molten HEU-235 Fluoride Fuel
fuel_heu_235_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of HEU-235 Fluoride Fuel
fuel_len_236                                      ([no block])                                                                     = Molten LEN-236 Fuel
fuel_len_236_fluoride                             ([no block])                                                                     = Molten LEN-236 Fluoride Fuel
fuel_len_236_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of LEN-236 Fluoride Fuel
fuel_hen_236                                      ([no block])                                                                     = Molten HEN-236 Fuel
fuel_hen_236_fluoride                             ([no block])                                                                     = Molten HEN-236 Fluoride Fuel
fuel_hen_236_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of HEN-236 Fluoride Fuel
fuel_lep_239                                      ([no block])                                                                     = Molten LEP-239 Fuel
fuel_lep_239_fluoride                             ([no block])                                                                     = Molten LEP-239 Fluoride Fuel
fuel_lep_239_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of LEP-239 Fluoride Fuel
fuel_hep_239                                      ([no block])                                                                     = Molten HEP-239 Fuel
fuel_hep_239_fluoride                             ([no block])                                                                     = Molten HEP-239 Fluoride Fuel
fuel_hep_239_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of HEP-239 Fluoride Fuel
fuel_lep_241                                      ([no block])                                                                     = Molten LEP-241 Fuel
fuel_lep_241_fluoride                             ([no block])                                                                     = Molten LEP-241 Fluoride Fuel
fuel_lep_241_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of LEP-241 Fluoride Fuel
fuel_hep_241                                      ([no block])                                                                     = Molten HEP-241 Fuel
fuel_hep_241_fluoride                             ([no block])                                                                     = Molten HEP-241 Fluoride Fuel
fuel_hep_241_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of HEP-241 Fluoride Fuel
fuel_lea_242                                      ([no block])                                                                     = Molten LEA-242 Fuel
fuel_lea_242_fluoride                             ([no block])                                                                     = Molten LEA-242 Fluoride Fuel
fuel_lea_242_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of LEA-242 Fluoride Fuel
fuel_hea_242                                      ([no block])                                                                     = Molten HEA-242 Fuel
fuel_hea_242_fluoride                             ([no block])                                                                     = Molten HEA-242 Fluoride Fuel
fuel_hea_242_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of HEA-242 Fluoride Fuel
fuel_lecm_243                                     ([no block])                                                                     = Molten LECm-243 Fuel
fuel_lecm_243_fluoride                            ([no block])                                                                     = Molten LECm-243 Fluoride Fuel
fuel_lecm_243_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of LECm-243 Fluoride Fuel
fuel_hecm_243                                     ([no block])                                                                     = Molten HECm-243 Fuel
fuel_hecm_243_fluoride                            ([no block])                                                                     = Molten HECm-243 Fluoride Fuel
fuel_hecm_243_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of HECm-243 Fluoride Fuel
fuel_lecm_245                                     ([no block])                                                                     = Molten LECm-245 Fuel
fuel_lecm_245_fluoride                            ([no block])                                                                     = Molten LECm-245 Fluoride Fuel
fuel_lecm_245_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of LECm-245 Fluoride Fuel
fuel_hecm_245                                     ([no block])                                                                     = Molten HECm-245 Fuel
fuel_hecm_245_fluoride                            ([no block])                                                                     = Molten HECm-245 Fluoride Fuel
fuel_hecm_245_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of HECm-245 Fluoride Fuel
fuel_lecm_247                                     ([no block])                                                                     = Molten LECm-247 Fuel
fuel_lecm_247_fluoride                            ([no block])                                                                     = Molten LECm-247 Fluoride Fuel
fuel_lecm_247_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of LECm-247 Fluoride Fuel
fuel_hecm_247                                     ([no block])                                                                     = Molten HECm-247 Fuel
fuel_hecm_247_fluoride                            ([no block])                                                                     = Molten HECm-247 Fluoride Fuel
fuel_hecm_247_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of HECm-247 Fluoride Fuel
fuel_leb_248                                      ([no block])                                                                     = Molten LEB-248 Fuel
fuel_leb_248_fluoride                             ([no block])                                                                     = Molten LEB-248 Fluoride Fuel
fuel_leb_248_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of LEB-248 Fluoride Fuel
fuel_heb_248                                      ([no block])                                                                     = Molten HEB-248 Fuel
fuel_heb_248_fluoride                             ([no block])                                                                     = Molten HEB-248 Fluoride Fuel
